Ticker,Trade,Date,Close
^CRUDE OIL,Buy,2/10/2023,79.7500
^DXY,Buy,2/24/2023,105.2600
^KOSPI-INDEX,Buy,2/24/2023,2423.6101
A32,Buy,2/3/2023,31.0000
ABS,Buy,2/3/2023,6.0500
ACC,Buy,2/3/2023,13.2000
ADG,Buy,2/3/2023,28.8000
ADP,Buy,2/24/2023,18.7000
ALT,Buy,1/31/2023,14.9000
ANT,Buy,2/17/2023,11.6000
APP,Buy,2/17/2023,5.2000
AUD/JPY,Buy,2/10/2023,90.8750
AVC,Buy,2/24/2023,38.7000
BAF,Buy,2/3/2023,18.9000
BBS,Buy,2/28/2023,11.5000
BCP,Buy,2/10/2023,9.6000
BHA,Buy,2/7/2023,14.8000
BNA,Buy,2/17/2023,10.9000
BNB/USD,Buy,2/12/2023,312.6000
BTN,Buy,2/17/2023,3.7000
BTU,Buy,1/31/2023,10.1000
BXH,Buy,2/23/2023,12.0000
CAN,Buy,2/16/2023,38.8000
CAP,Buy,2/3/2023,71.4000
CAR,Buy,2/24/2023,32.0000
CAT,Buy,2/10/2023,21.8000
CBS,Buy,2/3/2023,55.5000
CCM,Buy,2/22/2023,62.7000
CCT,Buy,2/24/2023,13.5000
CKA,Buy,2/23/2023,33.0000
CKD,Buy,2/23/2023,26.7000
CLC,Buy,2/2/2023,34.1500
CLM,Buy,2/6/2023,68.0000
CMI,Buy,2/24/2023,2.8000
CMN,Buy,2/17/2023,77.9000
CNN,Buy,2/10/2023,32.1000
CQT,Buy,2/8/2023,11.5000
CT6,Buy,2/3/2023,7.3000
CX8,Buy,2/8/2023,6.4000
DAC,Buy,2/16/2023,4.5000
DDG,Buy,2/17/2023,42.5000
DDN,Buy,2/3/2023,10.2000
DGW,Buy,2/3/2023,41.3000
DHB,Buy,2/10/2023,9.2000
DHD,Buy,2/21/2023,25.2000
DHM,Buy,2/10/2023,12.1000
DRG,Buy,2/10/2023,6.5000
DTI,Buy,2/23/2023,9.0000
DWS,Buy,2/23/2023,11.0000
E29,Buy,2/23/2023,4.4000
EIB,Buy,2/3/2023,21.1000
EMC,Buy,2/3/2023,12.0000
EPH,Buy,2/9/2023,10.5000
EUR/NZD,Buy,2/10/2023,1.6927
FOC,Buy,2/17/2023,106.4000
GGG,Buy,2/17/2023,5.4000
GLT,Buy,2/9/2023,22.1000
HAD,Buy,2/10/2023,16.5000
HBH,Buy,2/7/2023,7.0000
HDW,Buy,2/3/2023,13.6000
HHC,Buy,2/8/2023,94.5000
HJC,Buy,2/7/2023,8.1000
HNA,Buy,2/17/2023,18.8000
HNF,Buy,2/2/2023,19.7000
HPD,Buy,2/10/2023,19.1000
HSI,Buy,2/17/2023,1.2000
ICN,Buy,2/17/2023,78.4800
ILA,Buy,2/17/2023,3.0000
KIP,Buy,2/17/2023,10.0000
KSV,Buy,2/10/2023,30.5000
KTC,Buy,2/8/2023,9.3000
L35,Buy,2/3/2023,4.1000
LEC,Buy,2/10/2023,5.8000
LLM,Buy,2/3/2023,9.9000
LQN,Buy,2/24/2023,4.4000
M10,Buy,2/3/2023,19.5000
MQN,Buy,2/9/2023,23.0000
MVN,Buy,2/1/2023,17.7000
NAS,Buy,2/28/2023,33.0000
NFC,Buy,2/9/2023,13.9000
NRC,Buy,2/3/2023,4.6000
NVL,Buy,2/24/2023,11.4000
PBP,Buy,2/10/2023,12.1000
PDV,Buy,2/10/2023,12.2000
PEG,Buy,2/10/2023,7.3000
PGN,Buy,2/17/2023,7.7000
PGS,Buy,2/21/2023,26.7000
PJS,Buy,2/23/2023,13.6000
PMJ,Buy,2/6/2023,23.0000
PND,Buy,2/9/2023,6.5000
POT,Buy,2/17/2023,17.2000
PSG,Buy,2/10/2023,1.3000
PTP,Buy,2/8/2023,8.8000
PVV,Buy,2/10/2023,4.4000
QNT,Buy,2/15/2023,4.0000
S4A,Buy,2/9/2023,33.4200
S55,Buy,2/3/2023,51.0000
SAB,Buy,2/3/2023,191.8400
SDK,Buy,2/20/2023,25.0000
SDN,Buy,2/15/2023,45.5000
SDV,Buy,2/17/2023,28.6000
SFN,Buy,2/17/2023,22.1000
SGB,Buy,2/3/2023,13.0000
SKH,Buy,2/2/2023,25.0000
SKN,Buy,2/27/2023,6.7000
SMT,Buy,2/3/2023,7.7000
SSC,Buy,2/17/2023,30.9500
STP,Buy,2/3/2023,7.1000
SWC,Buy,2/3/2023,21.7000
TA9,Buy,2/17/2023,12.3000
TCO,Buy,2/10/2023,8.0200
TDB,Buy,2/7/2023,39.9000
TFC,Buy,2/16/2023,6.4000
TKG,Buy,2/24/2023,12.9000
TL4,Buy,1/31/2023,6.3000
TLI,Buy,1/30/2023,7.7000
TN1,Buy,2/3/2023,17.2500
TNB,Buy,2/17/2023,13.3000
TNC,Buy,2/1/2023,55.6000
TOS,Buy,2/24/2023,30.0000
TOW,Buy,2/23/2023,14.3000
TRA,Buy,2/23/2023,91.9000
TSJ,Buy,2/23/2023,28.5000
TTD,Buy,2/17/2023,72.0000
TTG,Buy,2/20/2023,5.2000
TTS,Buy,2/22/2023,7.1000
TTT,Buy,2/3/2023,44.0000
TUG,Buy,2/23/2023,16.2000
TV1,Buy,2/10/2023,11.5000
TVA,Buy,2/17/2023,11.6000
TW3,Buy,2/16/2023,12.9000
UK Brent Oil,Buy,2/10/2023,86.4700
UK Gas Oil,Buy,2/3/2023,801.7500
UNI/USD,Buy,2/4/2023,7.2834
US Corn,Buy,2/3/2023,677.0000
US Heating Oil,Buy,2/24/2023,2.7976
US Lumber,Buy,2/3/2023,499.8000
US Sugar,Buy,2/24/2023,21.3100
US Wheat,Buy,2/17/2023,765.2500
USD,Buy,2/10/2023,12.6000
USD/CHF,Buy,2/24/2023,0.9406
USD/HKD,Buy,2/3/2023,7.8468
USD/JPY,Buy,2/24/2023,136.4850
USD/SGD,Buy,2/24/2023,1.3499
USD/THB,Buy,2/24/2023,34.9300
USD/ZAR,Buy,2/24/2023,18.4275
VCM,Buy,1/31/2023,21.0000
VE4,Buy,2/10/2023,91.3000
VFG,Buy,2/3/2023,38.3800
VGR,Buy,2/20/2023,37.2000
VIN,Buy,2/3/2023,20.0000
VIT,Buy,1/31/2023,18.1000
VLA,Buy,2/7/2023,63.8000
VLB,Buy,2/24/2023,31.3000
VPS,Buy,2/17/2023,8.7700
VST,Buy,2/10/2023,3.0000
VTC,Buy,2/6/2023,12.6000
VTJ,Buy,1/30/2023,3.9000
VTZ,Buy,2/24/2023,7.7000
WCS,Buy,2/9/2023,169.9000
WTC,Buy,2/2/2023,12.4000
WTI/USD,Buy,2/10/2023,79.6800
XBR/USD,Buy,2/17/2023,82.9700
